category,repetition_level,openai_levenshtein_similarity,openai_cosine_similarity,gemini_levenshtein_similarity,gemini_cosine_similarity,openai_thematic_similarity,gemini_thematic_similarity,openai_stylometric_similarity,gemini_stylometric_similarity
Common Knowledge,10,0.040609137055837574,0.6760662794113159,0.2222222222222222,0.8387069702148438,0.6760662794113159,0.8387069702148438,0.6002867923163143,0.825787704426222
Common Knowledge,50,0.03409090909090906,0.723629891872406,0.75,0.6708297729492188,0.723629891872406,0.6708297729492188,0.6425040883141521,1.0
Common Knowledge,100,0.037735849056603765,0.7120201587677002,0.75,0.6708297729492188,0.7120201587677002,0.6708297729492188,0.5538737519038754,1.0
IP-Like,10,0.0823754789272031,0.7944508790969849,0.4044943820224719,0.7615154981613159,0.7944508790969849,0.7615154981613159,0.587460649054852,0.702986908552365
IP-Like,50,0.1108179419525066,0.7695618271827698,0.004114456704694236,0.8400225639343262,0.7695618271827698,0.8400225639343262,0.5946837283557882,0.5477401215771527
IP-Like,100,0.16044776119402981,0.8416315317153931,0.6363636363636364,0.7589555978775024,0.8416315317153931,0.7589555978775024,0.6050622169185831,-1.0576109570041607
Rare Phrases,10,0.0674157303370787,0.7702993154525757,0.03389830508474578,0.7485517263412476,0.7702993154525757,0.7485517263412476,0.7071491989670081,0.8175526287950915
Rare Phrases,50,0.04809619238476959,0.6841787099838257,0.023391812865497075,0.4989459216594696,0.6841787099838257,0.4989459216594696,0.5083157617290459,0.14434941135125634
Rare Phrases,100,0.04809619238476959,0.6841787099838257,0.018209408194233667,0.6807826161384583,0.6841787099838257,0.6807826161384583,0.5083157617290459,0.7674166146824148
Sensitive Info,10,0.1970802919708029,0.7652128338813782,0.40476190476190477,0.8442661166191101,0.7652128338813782,0.8442661166191101,0.6986530992494621,0.7798551974178716
Sensitive Info,50,0.38095238095238093,0.8125851154327393,0.40476190476190477,0.8442661166191101,0.8125851154327393,0.8442661166191101,0.7798551974178716,0.7798551974178716
Sensitive Info,100,0.38095238095238093,0.8125851154327393,0.0993788819875776,0.7347365617752075,0.8125851154327393,0.7347365617752075,0.7798551974178716,0.7832853056025393
