category,repetition_level,openai_levenshtein_similarity,openai_cosine_similarity,gemini_levenshtein_similarity,gemini_cosine_similarity,openai_thematic_similarity,gemini_thematic_similarity,openai_stylometric_similarity,gemini_stylometric_similarity
Common Knowledge,10,0.047337278106508895,0.6704543828964233,0.42105263157894735,0.8996728658676147,0.6704543828964233,0.8996728658676147,0.6259467548717854,0.9711433594704876
Common Knowledge,50,0.03738317757009346,0.7390679121017456,0.75,0.6708297729492188,0.7390679121017456,0.6708297729492188,0.5770119128206368,1.0
Common Knowledge,100,1.0,1.0,0.75,0.6769086718559265,1.0,0.6769086718559265,1.0,1.0
IP-Like,10,0.07251264755480602,0.8022260665893555,0.0625,0.46145099401474,0.8022260665893555,0.46145099401474,0.6299192183989242,0.7139204413810495
IP-Like,50,0.13571428571428568,0.7177302241325378,0.07189542483660127,0.6249878406524658,0.7177302241325378,0.6249878406524658,0.5904547909524971,0.6574535675444957
IP-Like,100,0.18320610687022898,0.012890815734863281,0.013797861331493633,0.44698649644851685,0.012890815734863281,0.44698649644851685,0.5854021953520282,-19.45106189320388
Rare Phrases,10,0.05122494432071267,0.7072014212608337,0.03065134099616862,0.7711256742477417,0.7072014212608337,0.7711256742477417,0.8061915943834763,0.7305192295560948
Rare Phrases,50,0.04809619238476959,0.6841787099838257,0.030341340075853318,0.7876671552658081,0.6841787099838257,0.7876671552658081,0.5083157617290459,0.763662855457014
Rare Phrases,100,0.04809619238476959,0.6841787099838257,0.009603841536614643,0.4476427435874939,0.6841787099838257,0.4476427435874939,0.5083157617290459,-0.5717949393779653
Sensitive Info,10,0.16666666666666663,0.10580456256866455,0.2471910112359551,0.47256165742874146,0.10580456256866455,0.47256165742874146,0.7353606171150631,0.75460615280595
Sensitive Info,50,0.40476190476190477,0.8442661166191101,0.1271186440677966,0.7847812175750732,0.8442661166191101,0.7847812175750732,0.7798551974178716,0.7760966540195755
Sensitive Info,100,0.38095238095238093,0.8125851154327393,0.40476190476190477,0.8442661166191101,0.8125851154327393,0.8442661166191101,0.7798551974178716,0.7798551974178716
