category,rephrase_step,cosine_similarity
Common Knowledge,1,0.4723220467567444
Common Knowledge,2,0.683402955532074
Common Knowledge,3,0.8983082175254822
Common Knowledge,4,0.9354250431060791
Common Knowledge,5,0.9292181134223938
IP-Like,1,0.8189651370048523
IP-Like,2,0.8143326044082642
IP-Like,3,0.840434730052948
IP-Like,4,0.7929052710533142
IP-Like,5,0.8638550043106079
Rare Phrases,1,0.6947868466377258
Rare Phrases,2,0.8800444006919861
Rare Phrases,3,0.9607200622558594
Rare Phrases,4,0.9374642372131348
Rare Phrases,5,0.9194579720497131
Sensitive Info,1,1.0
Sensitive Info,2,1.0
Sensitive Info,3,0.1308760941028595
Sensitive Info,4,0.1308760941028595
Sensitive Info,5,0.13246473670005798
